chlorides,density,pH,sulphates,acid,residual sugar,alcohol,bound sulfur dioxide,quality,type
0.037,0.9935,3.05,0.62,8.54,5.5,11.5,127,4,white
0.047,0.994,3.06,0.65,9.62,1.6,11.1,92,4,white
0.048,0.9944,3.08,0.61,9.74,1.3,10.3,64,4,white
0.054,0.99795,3.32,0.47,9.2,9.6,9.8,136,4,white
0.05,0.9946,3.24,0.37,9.16,1.2,9.5,76.5,4,white
0.048,0.996,3.36,0.52,8.71,3.2,9.5,47,4,white
0.046,0.9944,3.14,0.62,9.6,1.3,10.2,62,4,white
0.046,0.994,3.38,0.47,7.84,1.3,10.1,53,4,white
0.04,0.9956,3.09,0.3,9.44,8.2,9.5,47,4,white
0.05,0.9972,3.19,0.57,8.38,11,9.3,195,4,white
0.047,0.995,3.22,0.71,10.16,2.1,10.8,121,4,white
0.043,0.9952,3.24,0.45,8.92,5.2,10.7,86,4,white
0.05,0.9962,3.12,0.69,11.08,2.2,10.3,102,4,white
0.077,0.9944,3.3,0.54,6.3,1.1,8.7,118,4,white
0.054,0.9952,3.04,0.46,10.44,2.4,9.3,133,4,white
0.047,0.9932,3.26,0.32,7.88,1.4,10,21,4,white
0.042,0.9937,3.31,0.38,7.3,1.3,9.4,55,4,white
0.037,0.9967,3.47,0.44,8.82,4.8,9,134,4,white
0.034,0.9944,3.42,0.48,8.98,2.1,10.5,146,4,white
0.042,0.9999,2.92,0.68,10.76,17.55,9.4,171,4,white
0.03,0.993,3,0.87,8.12,4.3,11.6,92,4,white
0.031,0.993,3,0.86,8.16,4.2,11.6,92,4,white
0.042,0.9924,2.96,0.28,10.68,0.9,10.4,46,4,white
0.051,0.994,3.22,0.38,7.86,1.4,9.5,81,4,white
0.069,0.9942,3.15,0.35,7.56,6.9,10.2,108,4,white
0.042,0.998,3.1,0.34,10.74,11.8,10.1,108,4,white
0.056,0.9977,3.06,0.43,11.78,10,10,189,4,white
0.048,0.9923,3,0.31,8.26,1,10.1,111,4,white
0.057,0.9942,2.99,0.48,7.88,3.6,9.5,72,4,white
0.057,0.9942,2.99,0.48,7.88,3.6,9.5,72,4,white
0.029,0.993,3.16,0.32,8.64,0.8,9.1,57,4,white
0.045,0.9963,3.27,0.57,8.04,6.4,9,103,4,white
0.036,0.992,2.96,0.33,10.48,1,10.5,42,4,white
0.048,0.9947,2.88,0.34,9.82,8.8,10.5,85,4,white
0.05,0.9946,3.31,0.58,9.36,1.8,10.6,111,4,white
0.062,0.9989,3.22,0.53,9.2,13.4,9,141,4,white
0.058,0.9965,3.65,0.52,8.4,1.6,9.4,127,4,white
0.044,0.9928,3.24,0.36,9.76,1,10.9,89,4,white
0.059,1.0004,3.27,0.58,9.58,15.4,9,145,4,white
0.05,0.9951,3.11,0.45,10.46,1.5,9.7,168,4,white
0.046,0.9955,3.25,0.35,7.42,4.2,8.6,108,4,white
0.051,0.9946,3.36,0.6,8.74,1.7,10.6,136,4,white
0.05,0.9954,3.16,0.43,10.36,1.7,9,150,4,white
0.032,0.9908,2.91,0.32,9.56,1.05,11.4,51,4,white
0.051,0.9945,3.49,0.44,7.48,1.8,10.5,187,4,white
0.034,0.9932,3.19,0.34,8.2,0.8,9.2,68,4,white
0.056,0.9968,3.11,0.46,12.66,1.6,10,147,4,white
0.032,0.993,3.15,0.4,8.84,1.6,10.4,100,4,white
0.046,0.9966,3.02,0.49,12.83,1.4,10.2,151,4,white
0.054,0.9939,3.24,0.52,7.8,1.1,9.1,105,4,white
0.044,0.9962,3.32,0.41,8.94,7.1,10.4,100,4,white
0.034,0.9902,3.14,0.37,7.74,1.2,11.7,49,4,white
0.033,0.9941,3.2,0.39,9.04,1.5,10.3,108,4,white
0.052,0.9994,3.12,0.59,12.56,8.6,10.2,153,4,white
0.038,0.992,3.05,0.31,9.1,3.6,11.7,67,4,white
0.031,0.9897,3.3,0.34,7.52,1.8,12.2,55,4,white
0.067,0.9986,3.03,0.44,8.58,15.3,9.2,134,4,white
0.06,0.9983,3.13,0.45,7.48,14.9,9,125,4,white
0.06,0.9983,3.13,0.45,7.48,14.9,9,125,4,white
0.067,0.99838,3.04,0.49,8.6,14.95,9.2,131,4,white
0.046,0.99814,3.17,0.46,9.2,11.8,8.9,106,4,white
0.067,0.9972,3.15,0.57,7.76,9.8,9,119,4,white
0.039,0.9979,3.08,0.44,9.52,11.1,8.8,121,4,white
0.036,0.99125,3.28,0.4,7.02,3,11.5,80,4,white
0.084,0.99516,3.49,0.63,7.32,2,9.6,170,4,white
0.085,0.99516,3.49,0.64,7.32,1.9,9.5,175,4,white
0.053,0.99362,3.29,0.54,8.08,1.3,9.9,165,4,white
0.053,0.99361,3.29,0.54,8.1,1.3,9.9,162,4,white
0.041,0.9914,3.06,0.45,8.72,1.2,11.3,99,4,white
0.047,0.99517,3.09,0.66,10.42,2,10,88,4,white
0.044,0.99514,3.1,0.53,10.5,2,10.2,89,4,white
0.034,0.99405,3.35,0.64,8.08,2.7,10.2,88,4,white
0.08,0.99803,3.47,0.66,7.4,8.8,9.4,162,4,white
0.034,0.99405,3.35,0.64,8.08,2.7,10.2,88,4,white
0.095,0.99773,3.53,0.71,7.32,7.4,9.2,167,4,white
0.034,0.99441,3.17,0.5,7.8,5.6,9.8,139,4,white
0.054,0.99836,3.16,0.5,8.68,12.7,9.7,119,4,white
0.054,0.99836,3.16,0.5,8.68,12.7,9.7,119,4,white
0.045,0.99556,3.17,0.47,10,1.4,9.4,108,4,white
0.045,0.99556,3.17,0.47,10,1.4,9.4,108,4,white
0.049,0.99502,3.16,0.38,8.32,7.1,9.4,170,4,white
0.049,0.99502,3.16,0.38,8.32,7.1,9.4,170,4,white
0.068,0.99499,3.2,0.48,8.63,1.4,9.7,129,4,white
0.039,0.9948,3.19,0.78,8.04,5.4,10,136,4,white
0.052,0.9958,2.91,0.34,7.16,10.6,9.3,79,4,white
0.04,0.9918,3.04,0.37,9.62,0.7,10.5,20,4,white
0.032,0.99629,3.01,0.46,8.76,11.9,10.8,79,4,white
0.023,0.98993,2.95,0.3,8.2,1.25,11.4,86,4,white
0.046,0.99458,3.34,0.48,7.92,4.6,10.6,82,4,white
0.039,0.99452,3.53,0.53,7.19,1.7,9.6,133.5,4,white
0.033,0.99205,3.17,0.43,8.7,1.2,10.7,113,4,white
0.054,0.99513,3.4,0.57,8.22,4.5,10.4,172,4,white
0.046,0.99194,3,0.35,9.7,1.1,10.5,75,4,white
0.046,0.99373,3.06,0.56,10.48,1.7,10.8,60,4,white
0.142,0.9927,3,0.44,7.58,2.5,9.9,103,4,white
0.043,0.99226,3.14,0.47,7.5,0.9,9.8,67,4,white
0.03,0.9892,3.16,0.6,8.58,1.2,12.9,58,4,white
0.036,0.99312,3.09,0.25,8.66,6.3,11.1,31,4,white
0.031,0.99098,3.01,0.36,8.66,3.85,11.8,29,4,white
0.033,0.9936,3.32,0.51,7.21,5.6,10.5,23,4,white
0.038,0.99098,3.1,0.37,7.58,1.2,11.2,119,4,white
0.037,0.99255,2.92,0.59,8.48,4,10.4,116,4,white
0.05,0.99268,3.42,0.48,7.54,1.8,10.4,65,4,white
0.028,0.99272,2.83,0.36,9.46,1.1,10,61,4,white
0.026,0.99144,3.22,0.79,8.1,8,12.7,70,4,white
0.014,0.99094,3.03,0.65,8.56,2.4,12,128,4,white
0.054,0.99864,3.06,0.49,9.1,13.3,8.6,130,4,white
0.054,0.99324,3.12,0.28,8.66,6.6,11.1,40,4,white
0.013,0.99246,3.32,0.36,6.34,1.1,13.5,6,4,white
0.039,0.99328,2.96,0.52,9.74,5.6,11,39,4,white
0.05,0.99304,3.1,0.55,8.52,6.5,11.2,84,4,white
0.049,0.99548,3.16,0.54,7.86,7.6,9.4,165,4,white
0.049,0.99548,3.16,0.54,7.86,7.6,9.4,165,4,white
0.056,0.99536,3.06,0.46,7.38,5.9,8.4,85,4,white
0.033,0.99058,3.35,0.47,8.62,4.4,12.4,101,4,white
0.06,0.99588,3.13,0.38,7.68,10.5,9.9,67,4,white
0.052,0.99602,3.24,0.39,7.96,6.2,8.8,151,4,white
0.142,0.9926,3.14,0.52,8.32,1.4,10.1,64,4,white
0.06,0.99344,3.07,0.34,7.14,3.9,9.2,86,4,white
0.06,0.99344,3.07,0.34,7.14,3.9,9.2,86,4,white
0.029,0.99076,3.51,0.48,6.38,1.1,11.2,45,4,white
0.036,0.99082,3.48,0.54,6.44,1.3,11.2,63,4,white
0.04,0.99126,3.07,0.45,6.54,2.3,10.1,42,4,white
0.04,0.99338,3.05,0.31,7.3,9.5,10.8,81,4,white
0.058,0.99288,3.23,0.58,6.72,1.2,9.55,101,4,white
0.034,0.9902,3.2,0.38,6.92,2.6,11.5,54,4,white
0.032,0.99036,3.14,0.4,7.31,0.8,11,42,4,white
0.058,0.99271,3.17,0.39,8.14,1.3,10.2,108,4,white
0.058,0.99271,3.17,0.39,8.14,1.3,10.2,108,4,white
0.045,0.99132,3.16,0.46,8.26,1.2,11.2,126,4,white
0.037,0.99032,3.1,0.4,7.18,0.8,10.9,65,4,white
0.033,0.98934,3.24,0.35,7.62,0.9,12.1,56,4,white
0.038,0.99125,3.52,0.4,6.31,1.45,11.6,34,4,white
0.035,0.99234,3.24,0.35,7.3,0.9,9.5,75,4,white
0.076,0.9978,3.51,0.56,8.8,1.9,9.4,23,5,red
0.098,0.9968,3.2,0.68,9.56,2.6,9.8,42,5,red
0.092,0.997,3.26,0.65,9.4,2.3,9.8,39,5,red
0.076,0.9978,3.51,0.56,8.8,1.9,9.4,23,5,red
0.075,0.9978,3.51,0.56,8.72,1.8,9.4,27,5,red
0.069,0.9964,3.3,0.46,9.22,1.6,9.4,44,5,red
0.071,0.9978,3.35,0.8,9.22,6.1,10.5,85,5,red
0.097,0.9959,3.28,0.54,8.02,1.8,9.2,50,5,red
0.071,0.9978,3.35,0.8,9.22,6.1,10.5,85,5,red
0.089,0.9943,3.58,0.52,6.83,1.6,9.9,43,5,red
0.114,0.9974,3.26,1.56,9.6,1.6,9.1,20,5,red
0.176,0.9986,3.16,0.88,10.5,3.8,9.2,93,5,red
0.17,0.9986,3.17,0.93,10.52,3.9,9.2,97,5,red
0.368,0.9968,3.11,1.28,9.78,1.7,9.3,40,5,red
0.082,0.9982,3.52,0.65,9,2.3,9.7,48,5,red
0.106,0.9966,3.17,0.91,9.18,1.6,9.5,27,5,red
0.084,0.9968,3.17,0.53,9.7,2.3,9.4,58,5,red
0.08,0.9955,3.34,0.56,7.4,1.4,9.3,12,5,red
0.08,0.9962,3.28,0.59,8.9,1.8,9.5,7,5,red
0.106,0.9966,3.17,0.91,9.18,1.6,9.5,27,5,red
0.08,0.9972,3.47,0.55,8.52,1.9,9.4,21,5,red
0.089,0.9958,3.35,0.54,8.19,2.4,10.1,65,5,red
0.083,0.9966,3.17,0.66,9.85,2.3,9.8,98,5,red
0.103,0.9957,3.38,0.55,6.34,1.8,9.2,37,5,red
0.074,0.9978,3.33,0.83,8.92,5.9,10.5,75,5,red
0.074,0.9978,3.33,0.83,8.92,5.9,10.5,75,5,red
0.069,0.9968,3.3,1.2,9.86,2.2,10.3,14,5,red
0.05,0.9962,3.48,0.52,8.18,1.8,9.5,6,5,red
0.114,0.997,3.25,0.73,10.43,2.2,9.2,92,5,red
0.113,0.9969,3.25,0.58,10.32,1.6,9.5,25,5,red
0.066,0.9958,3.34,0.56,7.66,1.6,9.2,7,5,red
0.074,0.9954,3.32,0.58,6.96,1.4,9.2,84,5,red
0.074,0.9971,3.15,0.74,10.64,1.7,9.2,19,5,red
0.081,0.997,3.2,0.56,10.08,3,9.4,89,5,red
0.084,0.9978,3.34,0.53,9.02,3.8,9.5,20,5,red
0.07,0.9971,3.04,0.63,12.18,3.4,9.6,6,5,red
0.111,0.9983,3.26,0.77,9,5.1,9.4,60,5,red
0.076,0.9975,3.43,0.59,9.34,2.3,10,37,5,red
0.079,0.998,3.44,0.64,10.4,2.2,9.2,33,5,red
0.115,0.9968,3.21,0.71,10.06,1.8,9.3,92,5,red
0.081,0.9966,3.39,0.57,8.57,2,9.8,41,5,red
0.086,0.9962,3.41,0.39,8.75,4.65,10.9,7,5,red
0.086,0.9962,3.41,0.39,8.75,4.65,10.9,7,5,red
0.079,0.9968,3.42,0.58,8.76,1.5,9.6,28,5,red
0.076,0.9962,3.44,0.58,8.15,1.6,10.7,9,5,red
0.074,0.9969,3.28,0.79,11.08,2,10.7,38,5,red
0.088,0.9962,3.32,0.48,9.5,2.1,9.5,79,5,red
0.084,0.9961,3.31,0.48,9.52,1.9,9.5,76,5,red
0.094,0.9984,3.28,0.82,11.42,2.5,9.6,55,5,red
0.093,0.9986,3.54,0.66,10.9,2.2,10.5,33,5,red
0.093,0.9986,3.54,0.66,10.9,2.2,10.5,33,5,red
0.086,0.9958,3.38,0.52,8.44,2,10.1,68,5,red
0.069,0.9958,3.41,0.56,7.5,1.6,9.2,12,5,red
0.464,0.9974,3.13,1.28,10.06,1.9,9.4,45,5,red
0.086,0.997,3.36,0.57,9.34,2,9.1,52,5,red
0.401,0.9969,3.16,1.14,9.16,1.8,9.4,35,5,red
0.076,0.9961,3.41,0.59,8.3,2.2,10.1,21,5,red
0.062,0.9966,3.39,0.64,9.2,1.9,9.6,22,5,red
0.107,0.9978,3.14,1.22,10.96,2.1,9.5,91,5,red
0.076,0.9978,3.48,0.53,8.4,1.8,9,16,5,red
0.079,0.9964,3.23,0.54,9.46,1.9,9.5,98,5,red
0.11,0.9972,2.93,1.98,10.16,2,9.8,114,5,red
0.062,0.9966,3.39,0.64,9.2,1.9,9.6,22,5,red
0.102,0.9965,3.45,0.56,8.35,3,10.7,15,5,red
0.07,0.9963,3.25,0.63,8.5,2,9.2,19,5,red
0.079,0.9967,3.39,0.56,9.52,2.5,9.8,5,5,red
0.077,0.9967,3.29,0.51,9.69,2.1,9.2,53,5,red
0.07,0.996,3.33,0.48,8.66,2.2,9.4,31,5,red
0.077,0.9967,3.29,0.51,9.69,2.1,9.2,53,5,red
0.467,0.9973,3.08,1.31,9.98,1.7,9.3,51,5,red
0.088,0.9969,3.46,0.79,8.08,1.7,9.3,49,5,red
0.122,0.9969,3.21,0.69,10.71,2,9.3,116,5,red
0.104,0.9964,3.19,0.93,9.3,1.8,9.5,35,5,red
0.084,0.9964,3.15,0.66,9.82,2.2,9.8,97,5,red
0.085,0.9964,3.15,0.66,9.8,2.2,9.8,97,5,red
0.104,0.9964,3.19,0.93,9.3,1.8,9.5,35,5,red
0.178,0.9962,3.3,0.57,9.62,1.7,9,79,5,red
0.075,0.998,3.49,0.52,8.69,2.5,9.2,10,5,red
0.08,0.9976,3.44,0.53,9.42,2.6,9.5,23,5,red
0.082,0.996,3.39,0.48,9.14,1.6,9.5,81,5,red
0.146,0.9984,3.16,0.7,10.32,1.9,9.4,63,5,red
0.081,0.9964,3.53,0.49,10.86,1.7,10.9,9,5,red
0.082,0.9964,3.54,0.48,10.76,1.8,10.9,9,5,red
0.072,0.9955,3.42,0.57,7.16,1.8,9.4,13,5,red
0.118,0.9968,3.24,0.66,10.61,2,9.4,104,5,red
0.049,0.9937,3.63,0.63,6.78,2.3,13,82,5,red
0.049,0.9937,3.63,0.63,6.78,2.3,13,82,5,red
0.09,0.9965,3.19,0.82,10.11,1.9,9.6,47,5,red
0.089,0.9968,3.23,0.77,10.03,1.8,9.5,42,5,red
0.081,0.9972,3.48,0.64,8.75,2,9.2,32,5,red
0.081,0.9962,3.33,0.54,9.3,2.1,9.5,90,5,red
0.081,0.9962,3.32,0.54,9.3,2,9.5,91,5,red
0.09,0.9965,3.19,0.82,10.11,1.9,9.6,47,5,red
0.089,0.9968,3.23,0.77,10.03,1.8,9.5,42,5,red
0.066,0.9954,3.34,0.58,7.24,1.7,9.4,17,5,red
0.117,0.9968,3.17,0.62,10.54,1.8,9.4,109,5,red
0.087,0.9944,3.54,0.52,7.2,1.8,10,73,5,red
0.236,0.9968,3.11,0.8,9.1,1.6,9.3,78,5,red
0.095,0.995,3.35,0.54,8.76,1.8,10.1,74,5,red
0.095,0.995,3.35,0.54,8.76,1.8,10.1,74,5,red
0.07,0.9973,3.42,0.72,8.8,5.5,10.5,100,5,red
0.071,0.9973,3.42,0.71,8.8,5.5,10.5,100,5,red
0.07,0.9973,3.42,0.72,8.8,5.5,10.5,100,5,red
0.071,0.9973,3.42,0.71,8.8,5.5,10.5,100,5,red
0.073,0.9969,3.48,0.5,8.46,2.2,9.3,10,5,red
0.09,0.9959,3.2,0.56,9.56,2,9.6,13,5,red
0.07,0.9982,3.37,0.49,9.12,7.3,9.4,85,5,red
0.07,0.9981,3.37,0.49,9,7.2,9.4,86,5,red
0.1,0.9961,3.19,0.62,10.02,1.7,9.5,82,5,red
0.085,0.9956,3.34,0.52,8.28,2.1,10.2,83,5,red
0.36,0.9964,3,1.59,9.39,1.8,9.5,48,5,red
0.08,0.9961,3.33,0.47,8.48,2,9.5,28,5,red
0.085,0.9958,3.35,0.78,7.98,1.5,9.5,30,5,red
0.08,0.9961,3.33,0.47,8.48,2,9.5,28,5,red
0.068,0.9969,3.48,0.56,8.61,2.5,9.6,13,5,red
0.067,0.9969,3.19,0.59,10.3,2.4,9.5,32,5,red
0.067,0.9969,3.19,0.59,10.3,2.4,9.5,32,5,red
0.27,0.9972,3.12,1.02,11.1,2,9.3,87,5,red
0.076,0.9972,3.44,0.52,8.7,2.5,9.3,26,5,red
0.077,0.9971,3.54,0.58,8.42,1.8,9.3,54,5,red
0.111,0.9971,3.26,0.53,10.66,2,9.7,59,5,red
0.082,0.9972,3.34,0.55,9.14,2,9.2,53,5,red
0.084,0.9976,3.39,0.49,9.31,2.6,9.7,17,5,red
0.084,0.9968,3.2,0.55,9.56,2,9.5,128,5,red
0.082,0.9968,3.2,0.55,9.52,1.9,9.5,127,5,red
0.077,0.9976,3.23,0.62,9.9,2.9,9.4,106,5,red
0.099,0.9969,3.28,0.61,8.3,3.8,9.5,110,5,red
0.071,0.9964,3.28,0.55,9.12,2.2,9.7,21,5,red
0.071,0.9964,3.28,0.55,9.12,2.2,9.7,21,5,red
0.074,0.9968,3.25,0.54,9.64,2,9.4,96,5,red
0.074,0.9968,3.46,0.59,9.06,2.4,10.2,40,5,red
0.097,0.9975,3.04,1.03,10.5,2.1,9.3,106,5,red
0.075,0.99545,3.36,0.79,8.02,1.5,9.5,33,5,red
0.088,0.9961,3.34,0.55,8.54,1.6,9.2,23,5,red
0.069,0.99625,3.29,0.53,9.56,1.8,9.3,94,5,red
0.1,0.9966,3.22,0.67,9.24,2.7,9.4,77,5,red
0.06,0.9959,3.3,0.43,9.86,2.2,10.1,37,5,red
0.06,0.9974,3.34,0.76,8.96,5.6,10.5,95,5,red
0.101,0.9962,3.14,0.57,10.27,2,11,36,5,red
0.072,0.9967,3.36,0.55,9.99,2.2,9.1,30,5,red
0.076,0.9957,3.39,0.54,8.86,1.9,9.7,34,5,red
0.08,0.99655,3.3,0.6,9.52,2.4,9.5,120,5,red
0.101,0.9957,3.15,0.57,8.98,2,9.4,56,5,red
0.057,0.99525,3.42,0.6,8.1,1.5,9.5,5,5,red
0.089,0.9984,3.39,0.63,10.92,2.6,9.8,14,5,red
0.081,0.99685,3.46,0.5,8.44,2.6,11,27,5,red
0.081,0.99685,3.46,0.5,8.44,2.6,11,27,5,red
0.263,0.9971,3,1.09,10.91,1.7,9.3,57,5,red
0.075,0.99685,3.38,0.52,8.6,1.9,9.5,35,5,red
0.072,0.9963,3.2,0.45,9.74,2.3,9.3,62,5,red
0.09,0.9986,3.17,0.53,12.76,3.1,10.5,16,5,red
0.092,0.9959,3.23,0.59,10.09,1.9,9.5,78,5,red
0.073,0.99675,3.26,0.57,9.6,3.2,9.3,102,5,red
0.075,0.998,3.22,0.62,10.82,2.2,9.2,8,5,red
0.075,0.9968,3.49,0.67,7.99,2.1,9.2,44,5,red
0.611,0.9968,3.06,1.26,10.04,1.8,9.4,37,5,red
0.077,0.99625,3.29,0.65,9.02,1.7,9.3,27,5,red
0.07,0.99575,3.34,0.57,9.1,1.7,10,25,5,red
